"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"335","An average of more than 70 students have been absent from school because of illness, the letter states. https://t.co/If8zkC8abX",FALSE,0,NA,2019-03-08 18:27:03,FALSE,NA,"1104086139617583106",NA,"<a href=""http://www.socialnewsdesk.com"" rel=""nofollow"">SocialNewsDesk</a>","ydrcom",0,FALSE,FALSE,NA,NA
"336","Don't know whether you have a cold or the flu? We break down the difference. https://t.co/s2EC6BGq0u",FALSE,2,NA,2019-03-08 18:27:00,FALSE,NA,"1104086127340933120",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","medicaldaily",1,FALSE,FALSE,NA,NA
"337","Unboxing The #BoxyPets! Lulu, Buttons, Stripes, Violet, Yummies, And Flu... https://t.co/xdzrTOsBoi via @YouTube",FALSE,0,NA,2019-03-08 18:26:57,FALSE,NA,"1104086116779610113",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SparklewithDani",0,FALSE,FALSE,NA,NA
"338","@JupiterDi1112 Yep. We lost a neighbor to the flu last year.",FALSE,1,"JupiterDi1112",2019-03-08 18:26:53,FALSE,"1104085689623166977","1104086098316353536","954371557","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","screaminggina",0,FALSE,FALSE,NA,NA
"339","The medical term for what I just coughed up is a ""Kuato"". #flu",FALSE,0,NA,2019-03-08 18:26:46,FALSE,NA,"1104086069711118337",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MikeMercadal",0,FALSE,FALSE,NA,NA
"340","blessed i got the flu before spring break cause i lost 5 lbs and have rock hard abs from all the coughing",FALSE,2,NA,2019-03-08 18:26:43,FALSE,NA,"1104086057493123072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tash274",0,FALSE,FALSE,NA,NA
"341","I hate this winter! I've had the flu three times and this time I've lost my voice, and my kids are like AREN'T YOU… https://t.co/zBX7RMwkHU",FALSE,0,NA,2019-03-08 18:26:18,TRUE,NA,"1104085949938458624",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","humeirakazmi",0,FALSE,FALSE,NA,NA
"342","i swear working in an office during cold/flu season is like going to the doctor and asking every single person ther… https://t.co/QvRBzKyGYu",FALSE,3,NA,2019-03-08 18:26:14,TRUE,NA,"1104085933131874304",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","alyssarbrts",1,FALSE,FALSE,NA,NA
"343","Flu season may not have peaked, and there's another wave of severe infections underway, CDC says - CNN https://t.co/aarbRwG0RM",FALSE,1,NA,2019-03-08 18:26:02,FALSE,NA,"1104085886331957249",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","liartelocin",0,FALSE,FALSE,NA,NA
"344","Flu season may not have peaked, and there's another wave of severe infections underway, CDC says - CNN https://t.co/w79jrws6kR",FALSE,0,NA,2019-03-08 18:25:27,FALSE,NA,"1104085737488744455",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","law_4thepeople",0,FALSE,FALSE,NA,NA
"345","@VonteWrld @zFluWorld @leanhilfiger @Nxscarr @LucciTooReal Flu you the bro and you know that i just ain’t Hear from… https://t.co/cX6J2HCWED",FALSE,0,"VonteWrld",2019-03-08 18:25:14,TRUE,"1104082778944081923","1104085685269643264","810220303800553473","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TylerSoo_",0,FALSE,FALSE,NA,NA
"346","Cool new study in @mbiojounral using network analysis to discover new host factors important for influenza virus re… https://t.co/IWchGMbEuB",FALSE,0,NA,2019-03-08 18:25:10,TRUE,NA,"1104085667599056901",NA,"<a href=""http://twuffer.com"" rel=""nofollow"">Twuffer</a>","nickwohlge",0,FALSE,FALSE,NA,NA
"347","#DYK: There are positive side effects, like how the #flushot can benefit your heart. Learn more here: https://t.co/W2v5HcMxDo @USNewsHealth",FALSE,0,NA,2019-03-08 18:25:09,FALSE,NA,"1104085663832596481",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","MontefioreNYC",0,FALSE,FALSE,NA,NA
"348","Choosing Antibiotics Wisely: What patients need to know when talking about cold-and-flu season with their doctor: https://t.co/BwPV3bGFaq",FALSE,0,NA,2019-03-08 18:25:06,FALSE,NA,"1104085650029068288",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","cpso_ca",0,FALSE,FALSE,NA,NA
"349","Nine children died of flu-related causes last week https://t.co/i1tDlIBlDJ",FALSE,10,NA,2019-03-08 18:23:59,FALSE,NA,"1104085366766792705",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","thedailybeast",18,FALSE,FALSE,NA,NA
"350","Flu season may not have peaked, and there's another wave of severe infections underway, CDC says - CNN https://t.co/2xupCL8CvT",FALSE,0,NA,2019-03-08 18:23:52,FALSE,NA,"1104085340950802432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","virtuewomenllc",0,FALSE,FALSE,NA,NA
"351","i just got uber eats popeyes and i have the flu AND bronchitis,,, how are y’all <U+0001F970>",FALSE,0,NA,2019-03-08 18:23:14,FALSE,NA,"1104085182108364800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","everydayhoseoki",0,FALSE,FALSE,NA,NA
"352","@swiftserpens Sounds like you could maybe have the bronchitis <U+0001F9D0> I had what I thought was the flu with a disgusting… https://t.co/FHxRD4okvl",FALSE,1,"swiftserpens",2019-03-08 18:23:02,TRUE,"1104084074203770880","1104085128664342528","2580183200","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","soupswift",0,FALSE,FALSE,NA,NA
"353","@DrPChouinard If you don’t believe in getting your flu shot, you don’t belong in healthcare",FALSE,1,"DrPChouinard",2019-03-08 18:22:30,FALSE,"1104052858272526336","1104084997512802305","1126859785","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheKidKidDoc",0,FALSE,FALSE,NA,NA
"354","There's a second wave of severe flu infections happening, CDC says. https://t.co/l2fuz24lDs",FALSE,0,NA,2019-03-08 18:22:28,FALSE,NA,"1104084985189851136",NA,"<a href=""http://twitter.com/NewsNevada"" rel=""nofollow"">Nevada News</a>","Nevada",0,FALSE,FALSE,NA,NA
"355","People who get on planes with obvious colds/coughs/flu/death rattles and don’t wear a mask are the worst kind of se… https://t.co/BFPmsFoKHR",FALSE,16,NA,2019-03-08 18:22:25,TRUE,NA,"1104084975308230656",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","rox_anne_b",2,FALSE,FALSE,NA,NA
"356","I’m getting a flu before I have a concert like why me ?",FALSE,1,NA,2019-03-08 18:22:23,FALSE,NA,"1104084968056283136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","loyauhlbieber_",0,FALSE,FALSE,NA,NA
"357","I went all flu/cold season without catching anything while working with sick babies/kids and now I have a touch of… https://t.co/gDvF99zceS",FALSE,0,NA,2019-03-08 18:22:08,TRUE,NA,"1104084903262674944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hgrayyyy",0,FALSE,FALSE,NA,NA
